EntrezGeneId,UniProtID
10006,http://www.uniprot.org/uniprot/Q8IZP0
25,http://www.uniprot.org/uniprot/P00519
27,http://www.uniprot.org/uniprot/P42684
57007,http://www.uniprot.org/uniprot/P25106
2181,http://www.uniprot.org/uniprot/O95573
90,http://www.uniprot.org/uniprot/Q04771
92,http://www.uniprot.org/uniprot/P27037
4299,http://www.uniprot.org/uniprot/P51825
3899,http://www.uniprot.org/uniprot/P51826
27125,http://www.uniprot.org/uniprot/Q9UHB7
207,http://www.uniprot.org/uniprot/P31749
208,http://www.uniprot.org/uniprot/P31751
238,http://www.uniprot.org/uniprot/Q9UM73
139285,http://www.uniprot.org/uniprot/Q5JTC6
324,http://www.uniprot.org/uniprot/P25054
9582,http://www.uniprot.org/uniprot/Q9UH17
367,http://www.uniprot.org/uniprot/P10275
23092,http://www.uniprot.org/uniprot/Q9UNA1
23365,http://www.uniprot.org/uniprot/Q9NZN5
8289,http://www.uniprot.org/uniprot/O14497
57492,http://www.uniprot.org/uniprot/Q8NFD5
196528,http://www.uniprot.org/uniprot/Q68CP9
405,http://www.uniprot.org/uniprot/P27540
79058,http://www.uniprot.org/uniprot/Q9BZE9
171023,http://www.uniprot.org/uniprot/Q8IXJ9
466,http://www.uniprot.org/uniprot/P18846
471,http://www.uniprot.org/uniprot/P31939
472,http://www.uniprot.org/uniprot/Q13315
476,http://www.uniprot.org/uniprot/P05023
492,http://www.uniprot.org/uniprot/Q16720
545,http://www.uniprot.org/uniprot/Q13535
546,http://www.uniprot.org/uniprot/P46100
8312,http://www.uniprot.org/uniprot/O15169
8313,http://www.uniprot.org/uniprot/Q9Y2T1
567,http://www.uniprot.org/uniprot/P61769
8314,http://www.uniprot.org/uniprot/Q92560
580,http://www.uniprot.org/uniprot/Q99728
581,http://www.uniprot.org/uniprot/Q07812
8915,http://www.uniprot.org/uniprot/O95999
53335,http://www.uniprot.org/uniprot/Q9H165
64919,http://www.uniprot.org/uniprot/Q9C0K0
596,http://www.uniprot.org/uniprot/P10415
602,http://www.uniprot.org/uniprot/P20749
604,http://www.uniprot.org/uniprot/P41182
605,http://www.uniprot.org/uniprot/Q4VC05
607,http://www.uniprot.org/uniprot/O00512
283149,http://www.uniprot.org/uniprot/Q86UU0
54880,http://www.uniprot.org/uniprot/Q6W2J9
63035,http://www.uniprot.org/uniprot/Q5H9F3
613,http://www.uniprot.org/uniprot/P11274
330,http://www.uniprot.org/uniprot/Q13489
641,http://www.uniprot.org/uniprot/P54132
657,http://www.uniprot.org/uniprot/P36894
673,http://www.uniprot.org/uniprot/P15056
672,http://www.uniprot.org/uniprot/P38398
675,http://www.uniprot.org/uniprot/P51587
8019,http://www.uniprot.org/uniprot/Q15059
23476,http://www.uniprot.org/uniprot/O60885
83990,http://www.uniprot.org/uniprot/Q9BX63
694,http://www.uniprot.org/uniprot/P62324
695,http://www.uniprot.org/uniprot/Q06187
701,http://www.uniprot.org/uniprot/O60566
80304,http://www.uniprot.org/uniprot/Q9H6R7
776,http://www.uniprot.org/uniprot/Q01668
811,http://www.uniprot.org/uniprot/P27797
23261,http://www.uniprot.org/uniprot/Q9Y6Y1
124583,http://www.uniprot.org/uniprot/Q8WVQ1
84433,http://www.uniprot.org/uniprot/Q9BXL7
833,http://www.uniprot.org/uniprot/P49589
57082,http://www.uniprot.org/uniprot/Q8NG31
841,http://www.uniprot.org/uniprot/Q14790
863,http://www.uniprot.org/uniprot/O75081
865,http://www.uniprot.org/uniprot/Q13951
867,http://www.uniprot.org/uniprot/P22681
868,http://www.uniprot.org/uniprot/Q13191
23624,http://www.uniprot.org/uniprot/Q9ULV8
8030,http://www.uniprot.org/uniprot/Q16204
57820,http://www.uniprot.org/uniprot/Q9NPC3
595,http://www.uniprot.org/uniprot/P24385
894,http://www.uniprot.org/uniprot/P30279
896,http://www.uniprot.org/uniprot/P30281
898,http://www.uniprot.org/uniprot/P24864
29126,http://www.uniprot.org/uniprot/Q9NZQ7
972,http://www.uniprot.org/uniprot/P04233
973,http://www.uniprot.org/uniprot/P11912
974,http://www.uniprot.org/uniprot/P40259
79577,http://www.uniprot.org/uniprot/Q6P1J9
999,http://www.uniprot.org/uniprot/P12830
1009,http://www.uniprot.org/uniprot/P55287
51755,http://www.uniprot.org/uniprot/Q9NYV4
1019,http://www.uniprot.org/uniprot/P11802
1021,http://www.uniprot.org/uniprot/Q00534
1027,http://www.uniprot.org/uniprot/P46527
1029,"http://www.uniprot.org/uniprot/P42771,http://www.uniprot.org/uniprot/Q8N726"
1031,http://www.uniprot.org/uniprot/P42773
1045,http://www.uniprot.org/uniprot/Q99626
1050,http://www.uniprot.org/uniprot/P49715
79145,http://www.uniprot.org/uniprot/Q9BUK0
1108,http://www.uniprot.org/uniprot/Q14839
11200,http://www.uniprot.org/uniprot/O96017
23152,http://www.uniprot.org/uniprot/Q96RK0
4261,http://www.uniprot.org/uniprot/P33076
6249,http://www.uniprot.org/uniprot/P30622
1213,http://www.uniprot.org/uniprot/Q00610
8218,http://www.uniprot.org/uniprot/P53675
7555,http://www.uniprot.org/uniprot/P62633
4849,http://www.uniprot.org/uniprot/O75175
11064,http://www.uniprot.org/uniprot/Q7Z7A1
1277,http://www.uniprot.org/uniprot/P02452
1280,http://www.uniprot.org/uniprot/P02458
1385,http://www.uniprot.org/uniprot/P16220
90993,http://www.uniprot.org/uniprot/Q96BA8
64764,http://www.uniprot.org/uniprot/Q70SY1
1387,http://www.uniprot.org/uniprot/Q92793
64109,http://www.uniprot.org/uniprot/Q9HC73
23373,http://www.uniprot.org/uniprot/Q6UUV9
64784,http://www.uniprot.org/uniprot/Q6UUV7
1441,http://www.uniprot.org/uniprot/Q99062
10664,http://www.uniprot.org/uniprot/P49711
1499,http://www.uniprot.org/uniprot/P35222
1523,"http://www.uniprot.org/uniprot/P39880,http://www.uniprot.org/uniprot/Q13948"
7852,http://www.uniprot.org/uniprot/P61073
1540,http://www.uniprot.org/uniprot/Q9NQC7
1616,http://www.uniprot.org/uniprot/Q9UER7
